X,Y,OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,SIGNID
-122.318463206969,47.6608505694955,12873,705410,,DIAMOND PARKING  WX10,JONATHAN DIAMOND,2062843100           ,"907 NE 45TH ST, SEATTLE, WA 98105",17,DIAMOND PARKING  WX10,,,,,,,,,,,,,,,N,,,
-122.334638084338,47.6058205558944,12874,580480,,EXPEDITOR GARAGE,R GATES,2066743400           ,"1015 3RD AVE # FL 12, SEATTLE, WA 98104",154,EXPEDITOR GARAGE,,,,,,,,,,,,,,,N,,,
-122.358377144303,47.6207639664793,12875,625108,,DIAMOND PARKING  A128,JONATHAN DIAMOND,2062843100           ,"233 1ST AVE W, SEATTLE, WA 98109",22,DIAMOND PARKING  A128,,,,,,,,,,,,,,,N,,,
-122.339572235175,47.6106656489231,12876,740982,,UNITED PARKING SERVICES 4553,JONATHAN DIAMOND,2062843100           ,"1600 2ND AVE, SEATTLE, WA 98101-3273",50,UNITED PARKING SERVICES 4553,,,,,,,,,,,,,,,N,,,
-122.321252032145,47.6106514185857,12877,711581,,ALCOA LOT   1401,MARK NORWICZ,4102676111           ,"1401 MADISON ST, SEATTLE, WA 98104-1316",53,ALCOA LOT   1401,,,,,,,,,,,,,,,N,,,
-122.346508791594,47.6488781129254,12878,4570,,U PARK 66,KEN JR PHILLIPS,2066245353           ,"910 N NORTHLAKE WAY, SEATTLE, WA 98103",85,U PARK 66,,,,,,,,,,,,,,,N,,,
-122.357121064266,47.6518199607306,12879,4591,,U PARK 87,KEN JR PHILLIPS,2062849797           ,"100 N CANAL ST, SEATTLE, WA 98103",90,U PARK 87,,,,,,,,,,,,,,,N,,,
-122.350241139173,47.6494220589185,12880,4578,,U PARK 74,KEN JR PHILLIPS,2062849797           ,"601 N 34TH ST, SEATTLE, WA 98103",90,U PARK 74,,,,,,,,,,,,,,,N,,,
-122.350241139173,47.6494220589185,13121,4557,,U PARK 52,KEN JR PHILLIPS,2062847979           ,"601 N 34TH ST, SEATTLE, WA 98103",56,U PARK 52,,,,,,,,,,,,,,,N,,,
-122.354707323045,47.6510678003451,13122,4576,,U PARK 72,KEN JR PHILLIPS,2062849797           ,"173 N 35TH ST, SEATTLE, WA 98133",36,U PARK 72,,,,,,,,,,,,,,,N,,,
-122.338841058527,47.618871676223,13123,637801,,DISCOVERY CENTER LOT 81902,BILL BEATTIE,2062899296           ,"101 WESTLAKE AVE N, SEATTLE, WA 98109-5215",26,DISCOVERY CENTER LOT 81902,,,,,,,,,,,,,,,N,,,
-122.320334939206,47.5995063730338,13124,604643,,DIAMOND PARKING  A633,JONATHAN DIAMOND,2062843100           ,"900 S JACKSON ST, SEATTLE, WA 98104",180,DIAMOND PARKING  A633,,,,,,,,,,,,,,,N,,,
-122.334519234769,47.6100281131034,13125,165225,,ACE PARKING MANAGEMENT INC,KEITH JONES,6192336624           ,"500 UNION ST #400, SEATTLE, WA 98101",589,ACE PARKING MANAGEMENT INC,,,,,,,,,,,,,,,N,,,
-122.334519234769,47.6100281131034,13126,165225,,ACE PARKING MANAGEMENT INC,KEITH JONES,2069031218           ,"500 UNION ST #400, SEATTLE, WA 98101",589,ACE PARKING MANAGEMENT INC,,,,,,,,,,,,,,,N,,,
-122.334519234769,47.6100281131034,13127,165225,,ACE PARKING MANAGEMENT INC,KEITH JONES,2067275827           ,"500 UNION ST #400, SEATTLE, WA 98101",589,ACE PARKING MANAGEMENT INC,,,,,,,,,,,,,,,N,,,
