OBJECTID,OSP_ID,FACILITY_NAME,STREET_ADDRESS,LOCATION,PHONE,PM_DISTRICT_ID,AREA_TYPE,BLOCKFACE_ID,STREET_SEG_CTRLN_ID,FACILITY_TYPE,OWNER,SENSOR_FLAG,METER_FLAG,DATA_FEED_FLAG,SERVICES,WEB_SITE,VEH_ENTRY_LANES,MC_ENTRY_LANES,VEH_EXIT_LANES,MC_EXIT_LANES,SYSTEM,HI_VOL_DISC_FLAG,VALIDATION_PGM,SP_EVT_RATES,ACTIVATION_FEE,CARD_REPLACE_FEE,LATE_FEE,REOPEN_FEE,NO_KEY_VALET_FEE,CAPACITY,MAIN_ENTRANCE_LONG,MAIN_ENTRANCE_LAT,GLOBALID,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
2881,913,7th and Irving Lot,1340 07th Avenue,7th Ave between Irving & Judah,,24,-,107132,360000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,36,-122.4638575,37.76334806,,POINT (-122.463844 37.763344),109,109,7,11,14
2655,910,20th and Irving Lot,1275 20th Avenue,20th Ave between Lincoln & Irving,,24,-,120121,1005000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,24,-122.4784895,37.76406077,,POINT (-122.47848 37.764057),39,39,10,7,35
2905,946,SF General Hospital Garage,2501 23rd Street,24th St between San Bruno & Utah,(415) 206-4907,29,-,223251,1250000,G,SFMTA,N,N,Y,"carpool/carshare rate, motorcycle rate, validation, electric vehicle charger, bike parking, valet parking",,4,0,4,0,PARCS,-,1 Hr Off ($1.50) / BC Lot 1 Hr Off ($2.00),Y,10,25,25,50,25,1657,-122.4045195,37.7541871,,POINT (-122.4045 37.75418),54,54,3,9,20
2644,890,Pier 48 Lot,Terry A Francois Blvd,Terry Francois @ Pier 48,,2,Pilot,869011,12531000,L,Port,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,9,-122.3870501,37.77531392,,POINT (-122.38704 37.77531),34,34,1,10,4
2898,938,Lombard Street Garage,2055 Lombard Street,Moulton between Webster & Fillmore,(415) 440-1984,7,Pilot,549201,8459101,G,SFMTA,N,N,Y,"carpool/carshare rate, validation, electric vehicle charger, valet parking",,1,0,1,0,PARCS,Y,"1-1/2 Hrs Off ($1.75), 3 Hrs Off ($3.50)",Y,38,38,38,60,38,197,-122.43489211,37.79964759,,POINT (-122.434875 37.799644),15,15,4,6,13
2901,942,North Beach Garage,735 Vallejo Street,Vallejo between Stockton & Powell,(415) 399-9564,12,-,705071,13095000,G,SFMTA,N,N,Y,"carpool/carshare rate, early bird rate, motorcycle rate, validation, valet parking",,1,0,1,0,PARCS,Y,1-1/2 Hrs Off ($3.00) - 1 stamp limit,Y,32,32,32,50,32,180,-122.40948747,37.7983815,,POINT (-122.40948 37.798378),106,106,6,3,6
2892,931,Civic Center Garage,355 McAllister Street,McAllister between Larkin & Polk,(415) 863-1537,3,Pilot,563031,8893000,G,RPD,N,N,Y,"carpool/carshare rate, motorcycle rate, student rate, special event parking, electric vehicle charger, bike parking, valet parking, ATM",http://civiccentergarage.com,2,0,4,0,PARCS,Y,,Y,32,32,32,50,32,843,-122.41776711,37.78024657,,POINT (-122.417755 37.780243),21,21,4,10,36
2650,905,Castro Theater Lot,457 Castro Street,Castro between 17th & 18th,,16,-,352041,3794000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,20,-122.4346236,37.76170365,,POINT (-122.43461 37.7617),38,38,3,5,5
2902,943,Performing Arts Garage,360 Grove Street,Grove between Franklin & Gough,(415) 252-8238,3,Pilot,446032,6556000,G,SFMTA,N,N,Y,"carpool/carshare rate, juror rate, early bird rate, motorcycle rate, electric vehicle charger, valet parking",http://www.performingartsgarage.com,2,0,3,0,DataPark,Y,,Y,32,32,32,50,32,600,-122.4225312,37.77810302,,POINT (-122.422516 37.7781),21,21,4,11,9
2882,914,Junipero Serra and Ocean Lot,2500 Ocean Avenue,Ocean between Junipero Serra & Woodacre,,31,-,591252,9847000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,20,-122.4721379,37.7314316,,POINT (-122.47212 37.731426),62,62,10,8,41
2648,903,8th and Clement Lot,324 08th Avenue,8th Ave between Clement & Geary,,9,Control,108032,389000,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,26,-122.4664136,37.78231677,,POINT (-122.4664 37.78231),5,5,8,4,11
2900,941,Moscone Center Garage,255 3rd Street,3rd St between Folsom & Howard,(415) 777-2782,1,Pilot,203021,168000,G,SFMTA,N,N,Y,"carpool/carshare rate, early bird rate, electric vehicle charger, bike parking, valet parking",,3,0,3,0,DataPark,Y,,Y,38,38,38,60,38,752,-122.3994795,37.78452379,,POINT (-122.39947 37.78452),32,32,1,10,8
2890,924,Phelan Loop Lot,1000 Ocean Avenue,Ocean between Phelan & Plymouth,,36,-,591102,9819201,L,SFMTA,N,Y,N,,,0,0,0,0,,-,,-,0,0,0,0,0,20,-122.4531232,37.72348896,,POINT (-122.45311 37.723484),71,71,9,8,41
2909,951,Vallejo Street Garage,766 Vallejo Street,Vallejo between Stockton & Powell,(415) 989-4490,12,-,705072,13096000,G,SFMTA,N,N,Y,"early bird rate, validation",,1,0,1,0,PARCS,Y,1-1/2 Hrs Off ($4.50) - 1 stamp limit,Y,32,32,32,50,32,162,-122.40975524,37.79867198,,POINT (-122.409744 37.798668),106,106,6,3,6
2891,930,16th and Hoff Garage,44 Hoff Street,Hoff between 16th St & 17th St,(415) 861-4048,4,Pilot,473002,6935000,G,SFMTA,N,N,Y,"carpool/carshare rate, bike parking, valet parking",,1,0,1,0,DataPark,Y,,Y,32,32,32,50,32,105,-122.4207729,37.76425207,,POINT (-122.42076 37.764248),53,53,3,2,20
