Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,AAA Car Care Plus,2131 Eggert Rd,,Amherst,NY,14226,,716-362-0562,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,42.979363,-78.821443,2020-09-03,42992,2021-03-11 23:22:17 UTC,P,,,2011-12-31,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,
ELEC,AAA Car Care Plus,8120 Main St,,Clarence,NY,14221,,716-932-3900  855-443-3873,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,42.965851,-78.69278,2020-06-09,42993,2021-03-11 23:22:17 UTC,P,,,2018-12-17,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,
ELEC,Thruway Nissan,79 Route 17K,,Newburgh,NY,12550,,845-562-1000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.504105,-74.068916,2020-06-09,44174,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Country Club Imports,55 Oneida St,,Oneonta,NY,13820,,607-432-2800,E,,Public - Call ahead,Dealership business hours; see service desk for access,,,,,,2,2,,Non-Networked,,GPS,42.451285,-75.100333,2020-06-09,44176,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,West-Herr Nissan,3580 Southwestern Blvd,,Orchard Park,NY,14127,,716-662-8008,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.784867,-78.76558,2020-06-09,44178,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Nissan 112,730 Route 112,Route 112,Patchogue,NY,11772,,,E,,Public - Call ahead,Dealership business hours; contact 631-289-9100 for more information,,,,,,1,1,,Non-Networked,,GPS,40.792986,-73.00827,2020-06-09,44180,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Huttig Nissan,4670 State Route 9,,Plattsburgh,NY,12901,,518-561-1210,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,44.667361,-73.444894,2020-06-09,44182,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Nissan City - Port Chester,225 Boston Post Rd,,Port Chester,NY,10573,,914-937-1777,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.996358,-73.669405,2020-06-09,44184,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Riverhead Auto Mall,1800 Old Country Rd,,Riverhead,NY,11901,,631-369-0600,E,,Public - Call ahead,Dealership business hours,,,,,,2,2,,Non-Networked,,GPS,40.924758,-72.704752,2020-12-03,44186,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
ELEC,Dorschel Nissan,3817 W Henrietta Rd,,Rochester,NY,14623,,585-334-9440,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,200-8,43.077581,-77.641934,2020-06-09,44188,2021-03-11 23:22:17 UTC,P,,,2011-11-30,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
