state,participation,english,math,reading,science,composite
National,0.6,20.3,20.7,21.4,21.0,21.0
Alabama,1.0,18.9,18.4,19.7,19.4,19.2
Alaska,0.65,18.7,19.8,20.4,19.9,19.8
Arizona,0.62,18.6,19.8,20.1,19.8,19.7
Arkansas,1.0,18.9,19.0,19.7,19.5,19.4
California,0.31,22.5,22.7,23.1,22.2,22.8
Colorado,1.0,20.1,20.3,21.2,20.9,20.8
Connecticut,0.31,25.5,24.6,25.6,24.6,25.2
Delaware,0.18,24.1,23.4,24.8,23.6,24.1
District of Columbia,0.32,24.4,23.5,24.9,23.5,24.2
Florida,0.73,19.0,19.4,21.0,19.4,19.8
Georgia,0.55,21.0,20.9,22.0,21.3,21.4
Hawaii,0.9,17.8,19.2,19.2,19.3,19.0
Idaho,0.38,21.9,21.8,23.0,22.1,22.3
Illinois,0.93,21.0,21.2,21.6,21.3,21.4
Indiana,0.35,22.0,22.4,23.2,22.3,22.6
Iowa,0.67,21.2,21.3,22.6,22.1,21.9
Kansas,0.73,21.1,21.3,22.3,21.7,21.7
Kentucky,1.0,19.6,19.4,20.5,20.1,20.0
Louisiana,1.0,19.4,18.8,19.8,19.6,19.5
Maine,0.08,24.2,24.0,24.8,23.7,24.3
Maryland,0.28,23.3,23.1,24.2,2.3,23.6
Massachusetts,0.29,25.4,25.3,25.9,24.7,25.4
Michigan,0.29,24.1,23.7,24.5,23.8,24.1
Minnesota,1.0,20.4,21.5,21.8,21.6,21.5
Mississippi,1.0,18.2,18.1,18.8,18.8,18.6
Missouri,1.0,19.8,19.9,20.8,20.5,20.4
Montana,1.0,19.0,20.2,21.0,20.5,20.3
Nebraska,0.84,20.9,20.9,21.9,21.5,21.4
Nevada,1.0,16.3,18.0,18.1,18.2,17.8
New Hampshire,0.18,25.4,25.1,26.0,24.9,25.5
New Jersey,0.34,23.8,23.8,24.1,23.2,23.9
New Mexico,0.66,18.6,19.4,20.4,20.0,19.7
New York,0.31,23.8,24.0,24.6,23.9,24.2
North Carolina,1.0,17.8,19.3,19.6,19.3,19.1
North Dakota,0.98,19.0,20.4,20.5,20.6,20.3
Ohio,0.75,21.2,21.6,22.5,22.0,22.0
Oklahoma,1.0,18.5,18.8,20.1,19.6,19.4
Oregon,0.4,21.2,21.5,22.4,21.7,21.8
Pennsylvania,0.23,23.4,23.4,24.2,23.3,23.7
Rhode Island,0.21,24.0,23.3,24.7,23.4,24.0
South Carolina,1.0,17.5,18.6,19.1,18.9,18.7
South Dakota,0.8,20.7,21.5,22.3,22.0,21.8
Tennessee,1.0,19.5,19.2,20.1,19.9,19.8
Texas,0.45,19.5,20.7,21.1,20.9,20.7
Utah,1.0,19.5,19.9,20.8,20.6,20.3
Vermont,0.29,23.3,23.1,24.4,23.2,23.6
Virginia,0.29,23.5,23.3,24.6,23.5,23.8
Washington,0.29,20.9,21.9,22.1,22.0,21.9
West Virginia,0.69,20.0,19.4,21.2,20.5,20.4
Wisconsin,1.0,19.7,20.4,20.6,20.9,20.5
Wyoming,1.0,19.4,19.8,20.8,20.6,20.2x
