state,participation,ebrw,math,total
Alabama,0.07,583,560,1143
Alaska,0.41,556,541,1097
Arizona,0.31,569,565,1134
Arkansas,0.06,582,559,1141
California,0.63,534,531,1065
Colorado,1.0,518,506,1024
Connecticut,1.0,529,516,1046
Delaware,1.0,499,486,985
District of Columbia,0.94,495,480,975
Florida,1.0,516,483,999
Georgia,0.71,538,519,1058
Hawaii,0.54,550,550,1100
Idaho,1.0,505,488,993
Illinois,1.0,509,504,1013
Indiana,0.66,543,537,1080
Iowa,0.03,622,622,1244
Kansas,0.04,618,623,1241
Kentucky,0.04,620,612,1232
Louisiana,0.05,610,591,1200
Maine,0.99,512,502,1013
Maryland,0.82,535,523,1058
Massachusetts,0.81,559,561,1120
Michigan,1.0,507,496,1003
Minnesota,0.04,636,648,1284
Mississippi,0.03,628,608,1237
Missouri,0.04,622,615,1236
Montana,0.09,603,596,1199
Nebraska,0.03,628,631,1260
Nevada,0.2,580,576,1156
New Hampshire,0.95,533,526,1059
New Jersey,0.82,544,545,1090
New Mexico,0.18,543,530,1073
New York,0.79,531,533,1064
North Carolina,0.51,554,546,1100
North Dakota,0.02,627,636,1263
Ohio,0.19,550,548,1097
Oklahoma,0.22,490,472,963
Oregon,0.51,562,550,1112
Pennsylvania,0.7,545,537,1082
Rhode Island,1.0,503,492,995
South Carolina,0.68,526,504,1030
South Dakota,0.03,633,635,1268
Tennessee,0.07,618,602,1220
Texas,0.68,515,507,1022
Utah,0.04,614,615,1230
Vermont,0.66,560,546,1106
Virginia,0.68,567,551,1119
Washington,0.7,539,535,1074
West Virginia,0.99,483,460,943
Wisconsin,0.03,635,648,1283
Wyoming,0.03,623,615,1238
