state,participation,english,math,reading,science,composite
National,0.6,20.3,20.7,21.4,21.0,20.85
Alabama,1.0,18.9,18.4,19.7,19.4,19.1
Alaska,0.65,18.7,19.8,20.4,19.9,19.7
Arizona,0.62,18.6,19.8,20.1,19.8,19.575000000000003
Arkansas,1.0,18.9,19.0,19.7,19.5,19.275
California,0.31,22.5,22.7,23.1,22.2,22.625000000000004
Colorado,1.0,20.1,20.3,21.2,20.9,20.625
Connecticut,0.31,25.5,24.6,25.6,24.6,25.075000000000003
Delaware,0.18,24.1,23.4,24.8,23.6,23.975
District of Columbia,0.32,24.4,23.5,24.9,23.5,24.075
Florida,0.73,19.0,19.4,21.0,19.4,19.7
Georgia,0.55,21.0,20.9,22.0,21.3,21.3
Hawaii,0.9,17.8,19.2,19.2,19.3,18.875
Idaho,0.38,21.9,21.8,23.0,22.1,22.200000000000003
Illinois,0.93,21.0,21.2,21.6,21.3,21.275000000000002
Indiana,0.35,22.0,22.4,23.2,22.3,22.474999999999998
Iowa,0.67,21.2,21.3,22.6,22.1,21.799999999999997
Kansas,0.73,21.1,21.3,22.3,21.7,21.6
Kentucky,1.0,19.6,19.4,20.5,20.1,19.9
Louisiana,1.0,19.4,18.8,19.8,19.6,19.4
Maine,0.08,24.2,24.0,24.8,23.7,24.175
Maryland,0.28,23.3,23.1,24.2,2.3,18.225
Massachusetts,0.29,25.4,25.3,25.9,24.7,25.325
Michigan,0.29,24.1,23.7,24.5,23.8,24.025
Minnesota,1.0,20.4,21.5,21.8,21.6,21.325000000000003
Mississippi,1.0,18.2,18.1,18.8,18.8,18.474999999999998
Missouri,1.0,19.8,19.9,20.8,20.5,20.25
Montana,1.0,19.0,20.2,21.0,20.5,20.175
Nebraska,0.84,20.9,20.9,21.9,21.5,21.299999999999997
Nevada,1.0,16.3,18.0,18.1,18.2,17.65
New Hampshire,0.18,25.4,25.1,26.0,24.9,25.35
New Jersey,0.34,23.8,23.8,24.1,23.2,23.725
New Mexico,0.66,18.6,19.4,20.4,20.0,19.6
New York,0.31,23.8,24.0,24.6,23.9,24.075000000000003
North Carolina,1.0,17.8,19.3,19.6,19.3,19.0
North Dakota,0.98,19.0,20.4,20.5,20.6,20.125
Ohio,0.75,21.2,21.6,22.5,22.0,21.825
Oklahoma,1.0,18.5,18.8,20.1,19.6,19.25
Oregon,0.4,21.2,21.5,22.4,21.7,21.7
Pennsylvania,0.23,23.4,23.4,24.2,23.3,23.575
Rhode Island,0.21,24.0,23.3,24.7,23.4,23.85
South Carolina,1.0,17.5,18.6,19.1,18.9,18.525
South Dakota,0.8,20.7,21.5,22.3,22.0,21.625
Tennessee,1.0,19.5,19.2,20.1,19.9,19.675
Texas,0.45,19.5,20.7,21.1,20.9,20.55
Utah,1.0,19.5,19.9,20.8,20.6,20.200000000000003
Vermont,0.29,23.3,23.1,24.4,23.2,23.500000000000004
Virginia,0.29,23.5,23.3,24.6,23.5,23.725
Washington,0.29,20.9,21.9,22.1,22.0,21.725
West Virginia,0.69,20.0,19.4,21.2,20.5,20.275
Wisconsin,1.0,19.7,20.4,20.6,20.9,20.4
Wyoming,1.0,19.4,19.8,20.8,20.6,20.15
