county_code,district_code,district_name,county_name,enrolled_seniors,sat_tested_seniors,sat_num_above_benchmark,sat_pct_above_benchmark,act_tested_seniors,act_num_above_benchmark,act_pct_above_benchmark,population_total,population_5_to_17,population_5_to_17_poverty,sat_participation_pct,act_participation_pct,5_to_17_poverty_pct
1,161176,Fremont Unified,Alameda,2537,845,678,80.24,511,473,92.56,236890,38326,1684,33.30705557745369,20.141899881750096,4.393884047382977
1,161275,Piedmont City Unified,Alameda,231,78,61,78.21,116,110,94.83,11864,2535,45,33.76623376623377,50.21645021645021,1.7751479289940828
1,161291,San Leandro Unified,Alameda,754,193,77,39.9,78,44,56.41,76908,11164,1210,25.59681697612732,10.344827586206897,10.838409172339663
10,1062166,Fresno Unified,Fresno,4593,1048,323,30.82,574,202,35.19,410089,82504,29613,22.81733072066188,12.497278467232746,35.89280519732377
10,1075127,Mendota Unified,Fresno,234,69,9,13.04,82,7,8.54,13187,2946,1259,29.48717948717949,35.04273504273504,42.73591310251188
13,1363107,Calipatria Unified,Imperial,91,27,5,18.52,19,9,47.37,10784,1248,405,29.67032967032967,20.87912087912088,32.45192307692308
15,1563859,Wasco Union High,Kern,453,184,40,21.74,71,24,33.8,32090,2051,463,40.618101545253865,15.673289183222957,22.57435397367138
19,1964774,Lynwood Unified,Los Angeles,1072,285,53,18.6,160,28,17.5,70913,15068,3142,26.58582089552239,14.925373134328357,20.852136979028405
19,1965128,Whittier Union High,Los Angeles,3048,1227,521,42.46,390,167,42.82,222745,13040,1305,40.25590551181102,12.795275590551181,10.007668711656443
19,1973452,Rowland Unified,Los Angeles,1186,386,174,45.08,119,58,48.74,110917,16858,2842,32.54637436762226,10.03372681281619,16.858464823822516
21,2165482,Tamalpais Union High,Marin,1233,435,361,82.99,412,374,90.78,116179,5565,195,35.27980535279806,33.41443633414436,3.5040431266846364
36,3667652,Chaffey Joint Union High,San Bernardino,6046,2437,1033,42.39,796,370,46.48,426003,26805,2830,40.30764141581211,13.165729407872973,10.557731766461481
36,3675077,Apple Valley Unified,San Bernardino,1086,316,118,37.34,82,42,51.22,83074,15361,3096,29.097605893186003,7.550644567219153,20.154937829568386
37,3768031,Coronado Unified,San Diego,294,152,113,74.34,128,100,78.13,26640,2911,151,51.70068027210885,43.53741496598639,5.18722088629337
37,3768130,Grossmont Union High,San Diego,5541,1514,886,58.52,940,566,60.21,489152,26365,3243,27.32358780003609,16.964446850748963,12.30039825526266
39,3975499,Tracy Joint Unified,San Joaquin,1515,483,247,51.14,160,84,52.5,107719,19640,1967,31.88118811881188,10.561056105610561,10.015274949083503
43,4373387,Milpitas Unified,Santa Clara,829,335,249,74.33,72,64,88.89,71498,10600,534,40.41013268998794,8.685162846803378,5.037735849056603
44,4469823,Santa Cruz City High,Santa Cruz,862,287,183,63.76,177,112,63.28,122291,5691,485,33.29466357308585,20.533642691415313,8.52222807942365
52,5271639,Red Bluff Joint Union High,Tehama,372,46,29,63.04,151,63,41.72,44116,2511,411,12.365591397849462,40.59139784946236,16.36798088410992
1,161200,Livermore Valley Joint Unified,Alameda,1128,315,231,73.33,249,201,80.72,93229,16079,710,27.925531914893615,22.074468085106382,4.415697493625226
9,961853,El Dorado Union High,El Dorado,1609,526,404,76.81,403,322,79.9,145600,7731,461,32.6911124922312,25.04661280298322,5.963006079420515
12,1275515,Eureka City Schools,Humboldt,347,58,32,55.17,23,16,69.57,50190,5718,1182,16.714697406340058,6.628242074927954,20.67156348373557
13,1363149,Holtville Unified,Imperial,151,52,18,34.62,29,9,31.03,8707,1840,458,34.437086092715234,19.205298013245034,24.891304347826086
19,1964683,Las Virgenes Unified,Los Angeles,986,337,248,73.59,322,269,83.54,65604,11451,607,34.17849898580121,32.657200811359026,5.300847087590603
19,1964964,San Marino Unified,Los Angeles,275,120,110,91.67,95,86,90.53,15384,2926,259,43.63636363636363,34.54545454545455,8.851674641148326
19,1973445,Hacienda la Puente Unified,Los Angeles,1459,1110,323,29.1,113,64,56.64,119208,20094,2980,76.07950651130912,7.74503084304318,14.830297601274012
20,2075606,Chawanakee Unified,Madera,154,47,12,25.53,32,17,53.13,4821,690,114,30.519480519480517,20.77922077922078,16.52173913043478
23,2365615,Ukiah Unified,Mendocino,525,91,57,62.64,23,16,69.57,38563,6608,1136,17.333333333333336,4.380952380952381,17.191283292978206
24,2475366,Delhi Unified,Merced,167,82,14,17.07,68,15,22.06,13942,3328,571,49.101796407185624,40.7185628742515,17.157451923076923
27,2766092,Monterey Peninsula Unified,Monterey,854,536,181,33.77,90,50,55.56,91726,13913,1889,62.76346604215457,10.53864168618267,13.57722992884353
