state,participation,ebrw,math,total
Alabama,0.05,593,572,1165
Alaska,0.38,547,533,1080
Arizona,0.3,563,553,1116
Arkansas,0.03,614,594,1208
California,0.53,531,524,1055
Colorado,0.11,606,595,1201
Connecticut,1.0,530,512,1041
Delaware,1.0,503,492,996
District of Columbia,1.0,482,468,950
Florida,0.83,520,497,1017
Georgia,0.61,535,515,1050
Hawaii,0.55,544,541,1085
Idaho,0.93,513,493,1005
Illinois,0.09,559,556,1115
Indiana,0.63,542,532,1074
Iowa,0.02,641,635,1275
Kansas,0.04,632,628,1260
Kentucky,0.04,631,616,1247
Louisiana,0.04,611,586,1198
Maine,0.95,513,499,1012
Maryland,0.69,536,52,1060
Massachusetts,0.76,555,551,1107
Michigan,1.0,509,495,1005
Minnesota,0.03,644,651,1295
Mississippi,0.02,634,607,1242
Missouri,0.03,640,631,1271
Montana,0.1,605,591,1196
Nebraska,0.03,629,625,1253
Nevada,0.26,563,553,1116
New Hampshire,0.96,532,520,1052
New Jersey,0.7,530,526,1056
New Mexico,0.11,577,561,1138
New York,0.67,528,523,1052
North Carolina,0.49,546,535,1081
North Dakota,0.02,635,621,1256
Ohio,0.12,578,570,1149
Oklahoma,0.07,530,517,1047
Oregon,0.43,560,548,1108
Pennsylvania,0.65,540,531,1071
Rhode Island,0.71,539,524,1062
South Carolina,0.5,543,521,1064
South Dakota,0.03,612,603,1216
Tennessee,0.05,623,604,1228
Texas,0.62,513,507,1020
Utah,0.03,624,614,1238
Vermont,0.6,562,551,1114
Virginia,0.65,561,541,1102
Washington,0.64,541,534,1075
West Virginia,0.14,558,528,1086
Wisconsin,0.03,642,649,1291
Wyoming,0.03,626,604,1230
