index,state,participation,ebrw,math,total,poverty_rate
0,Alabama,0.07,583,560,1143,20.7
1,Alaska,0.41,556,541,1097,11.9
2,Arizona,0.31,569,565,1134,18.1
3,Arkansas,0.06,582,559,1141,19.9
4,California,0.63,534,531,1065,15.2
5,Colorado,1.0,518,506,1024,10.7
6,Connecticut,1.0,529,516,1046,12.9
7,Delaware,1.0,499,486,985,15.2
8,District of Columbia,0.94,495,480,975,20.1
9,Florida,1.0,516,483,999,16.9
10,Georgia,0.71,538,519,1058,18.6
11,Hawaii,0.54,550,550,1100,10.5
12,Idaho,1.0,505,488,993,11.2
13,Illinois,1.0,509,504,1013,14.6
14,Indiana,0.66,543,537,1080,13.9
15,Iowa,0.03,622,622,1244,11.7
16,Kansas,0.04,618,623,1241,12.9
17,Kentucky,0.04,620,612,1232,19.2
18,Louisiana,0.05,610,591,1200,25.4
19,Maine,0.99,512,502,1013,12.5
20,Maryland,0.82,535,523,1058,11.9
21,Massachusetts,0.81,559,561,1120,11.5
22,Michigan,1.0,507,496,1003,16.3
23,Minnesota,0.04,636,648,1284,10.4
24,Mississippi,0.03,628,608,1237,26.4
25,Missouri,0.04,622,615,1236,15.9
26,Montana,0.09,603,596,1199,14.2
27,Nebraska,0.03,628,631,1260,10.3
28,Nevada,0.2,580,576,1156,16.5
29,New Hampshire,0.95,533,526,1059,7.5
30,New Jersey,0.82,544,545,1090,11.5
31,New Mexico,0.18,543,530,1073,22.4
32,New York,0.79,531,533,1064,17.2
33,North Carolina,0.51,554,546,1100,18.1
34,North Dakota,0.02,627,636,1263,10.2
35,Ohio,0.19,550,548,1097,16.6
36,Oklahoma,0.22,490,472,963,18.4
37,Oregon,0.51,562,550,1112,12.8
38,Pennsylvania,0.7,545,537,1082,15.9
40,Rhode Island,1.0,503,492,995,15.4
41,South Carolina,0.68,526,504,1030,19.0
42,South Dakota,0.03,633,635,1268,13.6
43,Tennessee,0.07,618,602,1220,18.0
44,Texas,0.68,515,507,1022,18.0
45,Utah,0.04,614,615,1230,8.7
46,Vermont,0.66,560,546,1106,9.8
48,Virginia,0.68,567,551,1119,12.5
49,Washington,0.7,539,535,1074,11.2
50,West Virginia,0.99,483,460,943,19.6
51,Wisconsin,0.03,635,648,1283,12.7
52,Wyoming,0.03,623,615,1238,10.1
